address,point
sei1um38kg0y8mm57nqk3g8zg2hw6rgdzv6ttjdzhc,389.66
sei1dpakpqrlw4sera9ag4fwwas0cyx54lswefwwvv,389.05
sei1yydpta8aux49kyx8weu68e8p2pttuhs38q7yxq,383.9
sei1gpewyv6qcuc2j6648ssftrq29gkfpdwq8u5faa,383.9
sei14zz6kvagasxenqd8204279qq5m66a2uxhltch6,383.9
sei10zkuypugtsf0fcfy7fmewqlcmfvgfaaqhwkanu,383.9
sei14983lxluaxfq8cg950tlvrpydmqllhyfupxx54,383.9
sei1gctwmy8u04zqqhye663lyuajs4w324vpdtu4p2,383.9
sei1z98f8fh5zcn444f8w95p7uz8c8w0c5jnpr944f,383.9
sei1qxhgu3x82rryhfx332vq8zaw3etdxgrh8dxql6,383.9
sei1km0shwzvqxdtc6emg0hd8qhn7zrnn4phhx5rla,383.9
sei16e029pexpa0zgn7f0a0f8c4qjyxy8sedydv8jr,383.9
sei13534tm363mxchmuzrlp55ashhttkrf3zf037hg,383.9
sei136ggu78vmdzw73tzf64kn9wm47jplumqr72xr6,383.9
sei1ka87m6w4vfx3666nqytefv4463ez4kcmhhg2lt,383.9
sei1q0eda2cyjh66q5dyukss3tzydm08mwc8k0hwpy,383.9
sei14dfk6wzvv0a8htpqsdq24f3utgw8hs9h2qzqml,383.9
sei1k9fw6v2x7nqdrzvlzgx9vc7ff6ru6qeqmv6t6d,383.9
sei1cwmgkwvre8erz3rtdf9qf3qd3pt0nk4k0yd5v9,383.9
sei1ljhl2sn9ccq8wh77jl420jamt67vy68vc3cats,383.9
sei1dn0jwjllnhwaxdy0yq7xz2a9gduesgv76jasqt,383.9
sei1fzsrkgkwk7xcrdd3ehrw6elgga7m7terzc6vvp,383.9
sei19vgr060f3cvy45g2lup2kda8taznfykjq4dkyf,383.9
sei18m742wkgr76ytwl7ayr59aq3a92pzetvvd5pj7,383.9
sei1cc5zggugny3kwyzf3rg8xreh727vj06h33f2ry,383.9
sei1zj44mywg86zc3c7h7sk3luv0zldzhad3jttjp0,383.9
sei12k8yf7297mttmz46gqxwawta8d3uhgl6v4teeu,383.9
sei1v09lgj3666xfgmxjr07ffwyjw4kd6xnkzvjyt2,383.9
sei1a89gxyqh4hvy9gcgcjua8nqe7k793urvka7zqs,383.9
sei1ax0a7qsczs5slh7mkh22nnq2wggne8j9vdl403,383.9
sei12ss3cxas6p9da69qc5dx4je6ev4dcjpng9e0yu,383.9
sei1fstesh7x52hh5gvvr9u876vua9cvvq9wjx2aa7,383.9
sei16edrxzw080l208q6jeyad6q9c557sf7mu3ndqa,383.9
sei1pxdf0xejx00mecdhu70pvzm74wramjqvysw5um,383.9
sei1p7d87s3pz9vxsvkze35d2f4hrwp9xul52mzghj,383.9
